Akki Lavarunner			Tok-Tok, Volcano Born
Budoka Gardener			Dokai, Weaver of Life
Bushi Tenderfoot		Kenzo the Hardhearted
Erayo, Soratami Ascendant	Erayo's Essence
Faithful Squire			Kaiso, Memory of Loyalty
Homura, Human Ascendant		Homura's Essence
Initiate of Blood		Goka the Unjust
Jushi Apprentice		Tomoya the Revealer
Kitsune Mystic			Autumn-Tail, Kitsune Sage
Kuon, Ogre Ascendant		Kuon's Essence
Nezumi Graverobber		Nighteyes the Desecrator
Nezumi Shortfang		Stabwhisker the Odious
Orochi Eggwatcher		Shidako, Broodmistress
Rune-Tail, Kitsune Ascendant	Rune-Tail's Essence
Sasaya, Orochi Ascendant	Sasaya's Essence
Student of Elements		Tobita, Master of Winds

# Split cards with single-text/merged individual spoilers:
Budoka Pupil			Ichiga, Who Topples Oaks
Callow Jushi			Jaraku the Interloper
Cunning Bandit			Azamuki, Treachery Incarnate
Hired Muscle			Scarmaker

# Problematic Oracle entry:
Homura, Human Ascendant		Homura's Essence
